x [pixels], y [pixels], u [pixels], v [pixels], SNR [peak/mean], valid [0 if masked], filtered [1 if filtered], avg. intensity
         0	       281	-20.7039503	-2.000624717	422.7041545	1	1	0.0166015625
        16	       281	15.44810026	-3.001037225	455.818305	1	1	0.0166015625
        32	       281	       nan	     -30.5	       nan	1	1	         0
        48	       281	       nan	     -30.5	       nan	1	1	         0
        64	       281	-0.3221681901	0.2226236993	249.332245	1	0	0.1533203125
        80	       281	-0.3314478067	0.2214069557	324.5253818	1	0	0.1533203125
        96	       281	       nan	     -30.5	       nan	1	1	         0
       112	       281	-0.1399501032	-0.2305145515	200.256637	1	0	0.1669921875
       128	       281	9.703115283	13.9726436	81.62735873	1	1	  0.234375
       144	       281	-14.16714679	-2.862106931	157.3829528	1	1	0.607421875
       160	       281	       nan	     -30.5	       nan	1	1	         0
       176	       281	       nan	     -30.5	       nan	1	1	         0
       192	       281	       nan	     -30.5	       nan	1	1	         0
       208	       281	       nan	     -30.5	       nan	1	1	         0
       224	       281	       nan	     -30.5	       nan	1	1	         0
       240	       281	       nan	     -30.5	       nan	1	1	         0
       256	       281	       nan	     -30.5	       nan	1	1	         0
       272	       281	-1.287334535	-0.5786233466	485.3118651	1	0	0.017578125
       288	       281	-1.287334535	-0.5786233466	446.7396945	1	0	0.017578125
       304	       281	       nan	     -30.5	       nan	1	1	         0
       320	       281	-7.297089988	-1.671732503	1052.356533	1	0	0.017578125
       336	       281	-9.271914833	0.03053373076	611.0144632	1	0	0.017578125
       352	       281	27.10599248	30.53926111	325.8519153	1	1	0.0673828125
       368	       281	-8.326130644	-27.21758845	116.6313683	1	1	0.7236328125
       384	       281	-8.327807506	-27.21757756	139.4258701	1	1	0.572265625
       400	       281	       nan	     -30.5	       nan	1	1	         0
       416	       281	       nan	     -30.5	       nan	1	1	         0
       432	       281	       nan	     -30.5	       nan	1	1	         0
       448	       281	       nan	     -30.5	       nan	1	1	         0
       464	       281	       nan	     -30.5	       nan	1	1	         0
         0	       265	-20.7039503	-2.000624717	420.4055562	1	1	0.0166015625
        16	       265	15.44810026	-3.001037225	448.2192883	1	1	0.0166015625
        32	       265	       nan	     -30.5	       nan	1	1	         0
        48	       265	       nan	     -30.5	       nan	1	1	         0
        64	       265	-0.3087608505	0.2226829201	 163.37466	1	0	0.1533203125
        80	       265	-0.3314478067	0.2214069557	322.5414792	1	0	0.1533203125
        96	       265	       nan	     -30.5	       nan	1	1	         0
       112	       265	-0.1398003836	-0.2307338851	197.4206613	1	0	0.1669921875
       128	       265	-0.1436098762	-0.2919442186	 153.62172	1	0	  0.234375
       144	       265	-0.1468420747	-0.596407844	826.2393924	1	0	0.0517578125
       160	       265	       nan	     -30.5	       nan	1	1	         0
       176	       265	       nan	     -30.5	       nan	1	1	         0
       192	       265	       nan	     -30.5	       nan	1	1	         0
       208	       265	       nan	     -30.5	       nan	1	1	         0
       224	       265	       nan	     -30.5	       nan	1	1	         0
       240	       265	       nan	     -30.5	       nan	1	1	         0
       256	       265	       nan	     -30.5	       nan	1	1	         0
       272	       265	       nan	     -30.5	       nan	1	1	         0
       288	       265	       nan	     -30.5	       nan	1	1	         0
       304	       265	       nan	     -30.5	       nan	1	1	         0
       320	       265	-7.297089988	-1.70395881	1128.387094	1	0	0.017578125
       336	       265	14.71295564	-11.30939755	331.3858337	1	1	0.0361328125
       352	       265	15.68821285	-12.25041923	593.8249117	1	1	0.0673828125
       368	       265	-1.304887515	-0.2357382168	185.7573575	1	0	0.8056640625
       384	       265	-1.307068276	-0.2359854613	115.1886117	1	0	0.8779296875
       400	       265	       nan	     -30.5	       nan	1	1	         0
       416	       265	-8.252367568	1.49004399	223.6905221	1	0	0.1357421875
       432	       265	-8.252446885	1.49003947	219.5953864	1	0	0.1357421875
       448	       265	22.73394186	-6.816526495	374.3459592	1	1	0.033203125
       464	       265	7.461214647	-9.210681075	420.315012	1	0	  0.015625
         0	       249	       nan	     -30.5	       nan	1	1	         0
        16	       249	       nan	     -30.5	       nan	1	1	         0
        32	       249	       nan	     -30.5	       nan	1	1	         0
        48	       249	       nan	     -30.5	       nan	1	1	         0
        64	       249	       nan	     -30.5	       nan	1	1	         0
        80	       249	         0	0.5676271519	630.4683677	1	0	0.05078125
        96	       249	12.00100651	16.71676636	889.2766365	1	1	0.05078125
       112	       249	-21.00041192	25.94105392	568.1089587	1	1	0.0166015625
       128	       249	-0.3899444964	0.5919449701	530.9693272	1	0	0.0166015625
       144	       249	       nan	     -30.5	       nan	1	1	         0
       160	       249	       nan	     -30.5	       nan	1	1	         0
       176	       249	       nan	     -30.5	       nan	1	1	         0
       192	       249	       nan	     -30.5	       nan	1	1	         0
       208	       249	       nan	     -30.5	       nan	1	1	         0
       224	       249	       nan	     -30.5	       nan	1	1	         0
       240	       249	       nan	     -30.5	       nan	1	1	         0
       256	       249	       nan	     -30.5	       nan	1	1	         0
       272	       249	       nan	     -30.5	       nan	1	1	         0
       288	       249	       nan	     -30.5	       nan	1	1	         0
       304	       249	       nan	     -30.5	       nan	1	1	         0
       320	       249	       nan	     -30.5	       nan	1	1	         0
       336	       249	       nan	     -30.5	       nan	1	1	         0
       352	       249	       nan	     -30.5	       nan	1	1	         0
       368	       249	-0.3941976931	-0.4234048598	439.8327025	1	0	0.0849609375
       384	       249	15.97007953	-7.589915347	299.3226157	1	1	0.0849609375
       400	       249	       nan	     -30.5	       nan	1	1	         0
       416	       249	-8.252310427	1.492542061	217.4940956	1	0	0.1357421875
       432	       249	-8.252389635	1.492792614	210.7604489	1	0	0.1357421875
       448	       249	22.72429648	-6.796191824	641.8507019	1	1	0.017578125
       464	       249	       nan	     -30.5	       nan	1	1	         0
         0	       233	       nan	     -30.5	       nan	1	1	         0
        16	       233	       nan	     -30.5	       nan	1	1	         0
        32	       233	       nan	     -30.5	       nan	1	1	         0
        48	       233	       nan	     -30.5	       nan	1	1	         0
        64	       233	       nan	     -30.5	       nan	1	1	         0
        80	       233	2.000523493	24.8307985	343.648974	1	1	0.0517578125
        96	       233	2.000483494	24.83084075	513.785261	1	1	0.0341796875
       112	       233	-0.3913766355	0.5907304199	578.1151937	1	0	0.0166015625
       128	       233	-0.3882527856	0.593379866	487.9396316	1	0	0.0166015625
       144	       233	       nan	     -30.5	       nan	1	1	         0
       160	       233	-1.184731849	0.06797294481	133.021135	1	0	0.673828125
       176	       233	-1.184716364	0.0679774099	134.6854379	1	0	0.673828125
       192	       233	       nan	     -30.5	       nan	1	1	         0
       208	       233	       nan	     -30.5	       nan	1	1	         0
       224	       233	       nan	     -30.5	       nan	1	1	         0
       240	       233	       nan	     -30.5	       nan	1	1	         0
       256	       233	       nan	     -30.5	       nan	1	1	         0
       272	       233	       nan	     -30.5	       nan	1	1	         0
